course_id,neg_count,pos_count,num_chapters,n_videos,n_exercises,n_problems,n_users_content_interaction,assignment_coverage,video_coverage,discussion_coverage,problems_attempted,attempts_total,correct_total,correct_rate_course,comments_total,commenters_total,views_total,viewers_total,unique_videos_viewed,enrollment_count,num_inactive_users,inactive_rate,avg_video_duration_sec,avg_exercise_correct_rate_course,avg_exercise_attempt_rate_course,avg_video_access_rate_course,qs_rank,progress_ratio,CQS_num,course_name,CQV,CQS
C_682487,0,0,9,46,23,222,1.0,0.0,0,1.0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,2208,2207.0,0.9995471014492754,,0.0,0.0,0.0,,0.0,0,网页创意与艺术设计,0.0976310729378174,Needs Improvement
C_681041,0,0,12,49,10,120,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,70,70.0,1.0,917.7769787234042,0.0,0.0,0.0,,0.0,0,Climate Change Science and Negotiations,0.0,Needs Improvement
C_1824926,0,0,4,40,27,185,19.0,0.0,1,1.0,185,638,516,0.0,9.0,4.0,92.0,12.0,18,225,206.0,0.9155555555555556,,0.7984555984555984,1.0,0.1916666666666666,,0.0,1,旅游景观文化与赏析,0.2642619919955827,Acceptable
C_680989,0,0,12,47,12,102,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1738,1738.0,1.0,,0.0,0.0,0.0,192.0,0.0,0,专业学位研究生英语,0.0,Needs Improvement
C_2342501,0,0,7,69,27,265,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1.0,,0.0,0.0,0.0,,0.0,0,食品微生物检测技术,0.0,Needs Improvement
C_682496,0,1,7,29,6,110,4.0,0.0,1,1.0,0,0,0,0.0,2.0,2.0,3.0,2.0,2,1657,1653.0,0.9975859987929994,,0.0,0.0,0.0517241379310344,,0.0,1,太极拳推手,0.2711042206617912,Acceptable
C_682309,0,0,7,32,18,85,6.0,0.0,1,1.0,78,78,63,0.0,6.0,5.0,15.0,1.0,11,2116,2110.0,0.997164461247637,1065.5591935483872,0.0,0.0,0.34375,20.0,0.0,2,IC设计与方法,0.4301093765067177,Excellent
C_682450,0,0,8,31,30,31,2.0,0.0,0,1.0,0,0,0,0.0,4.0,2.0,0.0,0.0,0,3966,3964.0,0.9994957135653052,,0.0,0.0,0.0,,0.0,1,网络价值评估,0.2281819352982207,Acceptable
C_682573,0,0,9,42,8,38,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1.0,,0.0,0.0,0.0,,0.0,0,数字集成电路与系统设计,0.0,Needs Improvement
C_707068,2,3,6,30,0,0,5.0,0.0,0,1.0,0,0,0,0.0,10.0,5.0,0.0,0.0,0,1615,1610.0,0.9969040247678018,,0.0,0.0,0.0,580.0,0.0,0,走近马克思,0.0,Needs Improvement
C_696987,0,1,8,39,8,80,2.0,0.0,0,1.0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,1897,1895.0,0.9989457037427516,,0.0,0.0,0.0,,0.0,1,英语演讲,0.2281819352982207,Acceptable
C_681377,0,1,10,33,12,199,1.0,0.0,0,1.0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,955,954.0,0.998952879581152,,0.0,0.0,0.0,,0.0,1,人体骨与关节解剖学,0.2281819352982207,Acceptable
C_1731888,0,1,6,71,6,6,1.0,0.0,0,1.0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,703,702.0,0.9985775248933144,,0.0,0.0,0.0,,0.0,1,笔译技巧与实践,0.2339676537145735,Acceptable
C_1687717,0,0,7,59,39,189,1.0,0.0,1,0.0,17,17,12,0.0,0.0,0.0,26.0,1.0,26,3246,3245.0,0.9996919285274184,,0.0,0.0,0.4406779661016949,489.0,0.0,2,电工电子学（下）,0.3773481395532316,Excellent
C_735164,3,87,8,61,44,164,1216.0,0.0,1,1.0,156,6142,5361,0.0,727.0,174.0,9837.0,951.0,33,9269,8053.0,0.8688100118675154,483.2637966101695,0.8851519275591193,0.850564468211527,0.0715726327765423,,0.0,2,理工学术英语,0.4128592020145549,Excellent
C_680993,1,1,7,80,4,60,4.0,0.0,0,1.0,0,0,0,0.0,6.0,4.0,0.0,0.0,0,10007,10003.0,0.9996002798041372,596.5601282051282,0.0,0.0,0.0,,0.0,1,混凝土建筑结构,0.2448096266503392,Acceptable
C_735156,0,2,7,21,0,0,2.0,0.0,0,1.0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,302,300.0,0.9933774834437086,,0.0,0.0,0.0,,0.0,0,漫画说营销,0.0,Needs Improvement
C_927980,1,11,7,43,7,156,43.0,0.0,0,1.0,0,0,0,0.0,385.0,43.0,0.0,0.0,0,5117,5074.0,0.9915966386554622,,0.0,0.0,0.0,,0.0,1,思想道德修养与法律基础,0.230690741837928,Acceptable
C_681028,0,2,8,49,7,16,3.0,0.0,0,1.0,16,26,15,0.0,4.0,3.0,0.0,0.0,0,618,615.0,0.9951456310679612,,0.0,0.0,0.0,,0.0,1,耕作学——农业生态转型的理论与实践,0.3445012170780462,Acceptable
C_682728,1,6,5,53,11,51,13.0,0.0,0,1.0,4,4,3,0.0,28.0,13.0,0.0,0.0,0,2807,2794.0,0.9953687210545066,,0.0,0.0,0.0,,0.0,0,现代汉语言语交际,0.1707626789127972,Needs Improvement
C_1916220,0,0,1,1,0,0,3.0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,3.0,3.0,1,77,74.0,0.961038961038961,,0.0,0.0,1.0,,0.0,0,中央财经工商管理专业（MBA）学姐 院校选择及备考经验分享,0.1339745962155614,Needs Improvement
C_681414,0,2,11,49,48,190,21.0,0.0,0,1.0,0,0,0,0.0,83.0,21.0,0.0,0.0,0,2248,2227.0,0.990658362989324,,0.0,0.0,0.0,,0.0,1,飞机推进系统原理,0.2232723867893154,Acceptable
C_1755943,0,0,7,21,5,27,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1.0,,0.0,0.0,0.0,,0.0,0,An Insight into Chinese Agricultural Civilization,0.0,Needs Improvement
C_1761380,0,0,10,47,10,123,6.0,0.0,1,0.0,33,39,15,0.0,0.0,0.0,37.0,6.0,29,208,202.0,0.971153846153846,605.1427659574468,0.0,0.0,0.1170212765957446,20.0,0.0,1,Water and Wastewater Treatment Engineering: Biochemical Technology,0.3110750458669286,Acceptable
C_735237,0,0,3,10,3,30,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2,2.0,1.0,,0.0,0.0,0.0,,0.0,0,助产学,0.0,Needs Improvement
C_749652,0,5,12,54,10,151,16.0,0.0,0,1.0,0,0,0,0.0,100.0,16.0,0.0,0.0,0,1667,1651.0,0.9904019196160768,,0.0,0.0,0.0,,0.0,1,配送与配送中心,0.2245968790364588,Acceptable
C_734032,0,0,4,34,7,61,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,14,14.0,1.0,544.30072,0.0,0.0,0.0,20.0,0.0,0,商科微学位-体验班,0.0,Needs Improvement
C_2328469,0,0,8,58,8,156,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,18,18.0,1.0,,0.0,0.0,0.0,396.0,0.0,0,中国概况（上）,0.0,Needs Improvement
C_1703785,0,0,1,10,0,0,3.0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,16.0,3.0,9,43,40.0,0.9302325581395348,,0.0,0.0,0.5333333333333333,,0.0,0,轮式机器人入门,0.1339745962155614,Needs Improvement
C_2197691,0,0,5,12,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,11,11.0,1.0,,0.0,0.0,0.0,,0.0,0,基于学习研究的教学理念与方法——以戏剧课程的教学为例,0.0,Needs Improvement
C_1833473,0,0,11,61,41,103,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1.0,702.6368214285714,0.0,0.0,0.0,,0.0,0,太阳能（自主模式）,0.0,Needs Improvement
C_2141873,0,0,4,59,4,19,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,10,10.0,1.0,,0.0,0.0,0.0,,0.0,0,Vaccines and Health,0.0,Needs Improvement
C_890264,0,0,12,128,24,200,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1.0,452.90032258064514,0.0,0.0,0.0,20.0,0.0,0,知识产权法律及实务（清华认证）,0.0,Needs Improvement
C_948124,0,0,6,43,6,120,6.0,0.0,0,1.0,0,0,0,0.0,11.0,6.0,0.0,0.0,0,1098,1092.0,0.994535519125683,,0.0,0.0,0.0,,0.0,1,线性代数,0.2339676537145734,Acceptable
C_919146,1,23,5,45,5,100,35.0,0.0,0,1.0,0,0,0,0.0,83.0,35.0,0.0,0.0,0,2528,2493.0,0.9861550632911392,251.7419230769231,0.0,0.0,0.0,,0.0,1,国画基础,0.2384226894136091,Acceptable
C_2337866,0,0,12,54,22,187,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,8,8.0,1.0,,0.0,0.0,0.0,205.0,0.0,0,C语言程序设计,0.0,Needs Improvement
C_1755931,0,0,7,23,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1.0,,0.0,0.0,0.0,,0.0,0,宏观经济学（国际版）,0.0,Needs Improvement
C_947257,3,10,8,34,8,151,31.0,0.0,0,1.0,0,0,0,0.0,94.0,31.0,0.0,0.0,0,15875,15844.0,0.9980472440944882,,0.0,0.0,0.0,,0.0,1,教育经济学,0.2281819352982207,Acceptable
C_2316363,0,0,6,65,7,60,1.0,0.0,0,1.0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,35,34.0,0.9714285714285714,,0.0,0.0,0.0,377.0,0.0,1,Hospitality English,0.2339676537145734,Acceptable
C_697091,8,18,20,73,15,75,182.0,0.0,0,1.0,0,0,0,0.0,405.0,182.0,0.0,0.0,0,25264,25082.0,0.9927960734642178,853.5716986301369,0.0,0.0,0.0,20.0,0.0,1,大数据与城市规划,0.2196866726186917,Acceptable
C_676687,2,21,8,81,2,2,25.0,0.0,0,1.0,0,0,0,0.0,75.0,25.0,0.0,0.0,0,4416,4391.0,0.994338768115942,517.2713513513514,0.0,0.0,0.0,,0.0,1,决胜移动互联网：创业者的商业模式课,0.2928932188134525,Acceptable
C_905199,0,0,9,31,32,247,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,5007,5007.0,1.0,1363.1970322580646,0.0,0.0,0.0,901.0,0.0,0,通信产业经济,0.0,Needs Improvement
C_685676,0,1,7,46,8,149,3.0,0.0,0,1.0,0,0,0,0.0,8.0,3.0,0.0,0.0,0,862,859.0,0.9965197215777262,689.2362954545455,0.0,0.0,0.0,,0.0,1,英汉语言对比,0.230690741837928,Acceptable
C_682018,0,0,7,41,17,250,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1.0,270.76737142857144,0.0,0.0,0.0,205.0,0.0,0,初级财务会计,0.0,Needs Improvement
C_2328476,0,0,5,43,43,288,0.0,0.0,0,0.0,14,27,9,0.0,0.0,0.0,0.0,0.0,0,75,75.0,1.0,,0.0,0.0,0.0,901.0,0.0,2,工程电磁场,0.3998086102485777,Excellent
C_735069,0,1,11,103,11,294,1.0,0.0,0,1.0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,480,479.0,0.9979166666666668,541.62108,0.0,0.0,0.0,336.0,0.0,1,土力学,0.2232723867893154,Acceptable
C_681708,0,0,6,29,23,86,1.0,0.0,0,1.0,3,3,2,0.0,3.0,1.0,0.0,0.0,0,761,760.0,0.9986859395532196,,0.0,0.0,0.0,,0.0,0,创“享”未来—— 大学生创新创业项目设计与实现,0.1666666666666668,Needs Improvement
C_681745,5,12,9,35,39,217,27.0,0.0,0,1.0,213,306,243,0.0,193.0,27.0,0.0,0.0,0,4690,4663.0,0.9942430703624734,459.1932857142857,0.0,0.0,0.0,,0.0,2,信息素养-互联网+时代的学习与生活,0.4515773365752819,Excellent
C_947149,0,1,8,20,14,86,37.0,0.0,1,1.0,86,359,272,0.0,6.0,6.0,22.0,13.0,3,14716,14679.0,0.9974857298178852,,0.725574741930905,0.8055555555555556,0.0846153846153846,,0.0,1,软件体系结构,0.3254327385467452,Acceptable
C_2229920,0,0,6,45,6,276,85.0,0.0,1,0.0,122,721,475,0.0,0.0,0.0,155.0,84.0,18,723,638.0,0.8824343015214384,,0.5135135135135135,0.6666666666666666,0.0399470899470899,,0.0,1,高等数学（经管类）I,0.3212233168059633,Acceptable
C_2332782,0,0,4,32,17,26,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,3,3.0,1.0,,0.0,0.0,0.0,,0.0,0,微积分应用（Applications of Calculus I ）,0.0,Needs Improvement
C_681154,0,0,10,48,20,89,3.0,0.0,0,1.0,0,0,0,0.0,3.0,3.0,0.0,0.0,0,1886,1883.0,0.9984093319194062,,0.0,0.0,0.0,,0.0,1,大学物理(上),0.2281819352982207,Acceptable
C_1907855,0,0,5,50,56,264,16.0,0.0,1,0.0,94,109,77,0.0,0.0,0.0,57.0,16.0,9,231,215.0,0.9307359307359307,,0.0,0.0,0.0675,,0.0,0,安装工程计量与计价,0.2049702676864054,Needs Improvement
C_697226,0,0,6,51,16,64,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,955,955.0,1.0,,0.0,0.0,0.0,,0.0,0,工程制图解读,0.0,Needs Improvement
C_1789680,0,0,6,50,0,0,2.0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,10.0,2.0,8,110,108.0,0.9818181818181818,565.9087812500001,0.0,0.0,0.1,,0.0,0,A Bite of Chinese Materia Medica,0.0377790023137728,Needs Improvement
C_948282,0,0,8,31,27,88,71.0,0.0,1,1.0,88,316,158,0.0,32.0,10.0,112.0,28.0,7,8196,8125.0,0.9913372376769156,,0.6515379972967192,0.4243156199677939,0.1232718894009216,,0.0,2,高分子化学,0.3979798518932371,Excellent
C_696782,0,0,1,2,1,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1.0,,0.0,0.0,0.0,205.0,0.0,0,测试使用，请勿选课,0.0,Needs Improvement
C_680917,0,0,15,49,15,74,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1.0,629.9934893617021,0.0,0.0,0.0,20.0,0.0,0,日语与日本文化（2）,0.0,Needs Improvement
C_584329,0,0,9,133,37,341,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,6,6.0,1.0,945.7712255639098,0.0,0.0,0.0,20.0,0.0,0,微积分——极限理论与一元函数,0.0,Needs Improvement
C_1755946,0,0,12,62,12,180,18.0,0.0,1,0.0,17,17,10,0.0,0.0,0.0,49.0,18.0,7,175,157.0,0.8971428571428571,,0.0,0.0,0.039426523297491,,0.0,0,Advanced Business English,0.079587023206202,Needs Improvement
C_1784729,0,0,8,41,43,476,2.0,0.0,1,1.0,29,33,20,0.0,2.0,1.0,1.0,1.0,1,80,78.0,0.975,601.5913243243243,0.0,0.0,0.024390243902439,,0.0,0,Basic Molecular Biology ,0.125,Needs Improvement
C_697405,23,38,10,36,9,39,124.0,0.0,0,1.0,0,0,0,0.0,282.0,124.0,0.0,0.0,0,25405,25281.0,0.995119071049006,569.1696000000001,0.0,0.0,0.0,20.0,0.0,1,住宅精细化设计,0.2262006512675489,Acceptable
C_890266,0,0,1,6,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1.0,,0.0,0.0,0.0,,0.0,0,算法训练营（秋季班）,0.0,Needs Improvement
C_883345,50,55,16,3,3,14,255.0,0.0,1,1.0,0,0,0,0.0,490.0,254.0,1.0,1.0,1,78374,78119.0,0.9967463699696328,250.87125651302603,0.0,0.0,0.0009940357852882,20.0,0.0,2,数据结构(上),0.417157287525381,Excellent
C_735306,1,0,15,165,17,313,284.0,0.0,1,1.0,293,562,435,0.0,73.0,10.0,736.0,274.0,11,918,634.0,0.690631808278867,,0.0,0.0,0.0158593231585932,,0.0,2,人体解剖生理学,0.3516906963988797,Excellent
C_677218,5,12,9,155,9,173,28.0,0.0,1,1.0,0,0,0,0.0,62.0,27.0,2.0,1.0,2,19948,19920.0,0.9985963505113294,598.7868671875,0.0,0.0,0.0129032258064516,20.0,0.0,1,计算机网络,0.2501266579461728,Acceptable
C_911165,3,26,10,41,10,152,80.0,0.0,0,1.0,0,0,0,0.0,230.0,80.0,0.0,0.0,0,12626,12546.0,0.9936638682084588,728.2486829268292,0.0,0.0,0.0,,0.0,1,公共经济学：思维与拓展,0.2245968790364588,Acceptable
C_681744,1,8,6,14,14,25,8.0,0.0,1,1.0,25,164,150,0.0,18.0,7.0,1.0,1.0,1,2502,2494.0,0.996802557953637,780.045642857143,0.0,0.0,0.0714285714285714,,0.0,1,中华文化要义：大一统,0.307733705099833,Acceptable
C_901958,2,0,9,13,12,14,2.0,0.0,0,1.0,14,120,77,0.0,4.0,1.0,1.0,1.0,0,882,880.0,0.9977324263038548,,0.0,0.0,0.0769230769230769,,0.0,2,素描与体验——原理与形式研究,0.498019812464325,Excellent
C_737494,0,0,14,64,66,284,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2,2.0,1.0,841.683448275862,0.0,0.0,0.0,205.0,0.0,0,废弃-软梯组合训练方法,0.0,Needs Improvement
C_682759,4,3,8,51,4,10,17.0,0.0,0,1.0,0,0,0,0.0,25.0,17.0,0.0,0.0,0,12854,12837.0,0.998677454488875,546.4106274509804,0.0,0.0,0.0,20.0,0.0,1,JAVA程序设计进阶,0.2928932188134525,Acceptable
C_854866,7,13,15,83,20,203,110.0,0.0,0,1.0,0,0,0,0.0,244.0,110.0,0.0,0.0,0,20573,20463.0,0.994653186214942,713.8708641975309,0.0,0.0,0.0,20.0,0.0,1,软件工程,0.2196866726186916,Acceptable
C_948289,1,2,13,76,12,180,6.0,0.0,0,1.0,0,0,0,0.0,8.0,6.0,0.0,0.0,0,11275,11269.0,0.9994678492239468,327.1248157894737,0.0,0.0,0.0,385.0,0.0,1,商务英语案例分析,0.2221602207252304,Acceptable
C_2225789,0,0,12,20,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,900,900.0,1.0,,0.0,0.0,0.0,801.0,0.0,0,药物现代评价方法,0.0,Needs Improvement
C_1682805,0,0,58,67,0,0,4.0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,8.0,4.0,3,21,17.0,0.8095238095238095,,0.0,0.0,0.0298507462686567,,0.0,0,零基础发音：像美国人一样地道发音,0.0069297204939083,Needs Improvement
C_629559,31,41,9,76,73,602,321.0,0.0,0,1.0,0,0,0,0.0,1223.0,321.0,0.0,0.0,0,67051,66730.0,0.9952125993646628,394.6217105263158,0.0,0.0,0.0,20.0,0.0,1,生活英语进阶,0.2262006512675489,Acceptable
C_1691412,0,0,2,16,1,15,5.0,0.0,1,1.0,15,282,159,0.0,2.0,2.0,10.0,2.0,8,1930,1925.0,0.9974093264248703,,0.7333333333333333,1.0,0.3125,,0.0,2,网络安全精品课：办公网安全,0.5,Excellent
C_681353,11,3,14,71,12,117,83.0,0.0,0,1.0,0,0,0,0.0,357.0,83.0,0.0,0.0,0,3628,3545.0,0.977122381477398,,0.0,0.0,0.0,,0.0,1,大学物理（低学时）,0.2232723867893154,Acceptable
C_1912011,0,0,9,16,15,15,3.0,0.0,1,0.0,4,9,7,0.0,0.0,0.0,4.0,3.0,3,198,195.0,0.9848484848484848,566.1140625,0.0,0.0,0.0833333333333333,,0.0,0,流体包裹体地质,0.0926916797869872,Needs Improvement
C_676651,13,20,7,33,1,1,176.0,0.0,1,1.0,0,0,0,0.0,215.0,71.0,256.0,107.0,30,17878,17702.0,0.9901554983778946,249.8126363636364,0.0,0.0,0.071084678561314,1.0,0.0,2,创业102：你能为客户做什么？,0.4482736055515063,Excellent
C_2199449,0,0,8,41,41,363,310.0,0.0,1,0.0,351,807,592,0.0,0.0,0.0,661.0,305.0,8,1887,1577.0,0.8357180710121886,658.3684146341463,0.701002331002331,0.0414634146341463,0.0410235905637744,,0.0,2,云南旅游文化之行,0.408387312373445,Excellent
C_1749733,0,0,14,141,69,127,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1.0,440.11348484848486,0.0,0.0,0.0,20.0,0.0,0,Combinatorial Mathematics（2020）,0.0,Needs Improvement
C_947154,1,2,12,49,49,204,3.0,0.0,0,1.0,0,0,0,0.0,8.0,3.0,0.0,0.0,0,1372,1369.0,0.9978134110787172,,0.0,0.0,0.0,,0.0,1,中国服饰的前世今生,0.2221602207252304,Acceptable
C_682792,0,0,16,82,97,230,23.0,0.0,0,1.0,0,0,0,0.0,70.0,22.0,4.0,1.0,0,3889,3866.0,0.9940858832604784,557.1278170731707,0.0,0.0,0.048780487804878,362.0,0.0,1,儿科护理学,0.2190625625250125,Acceptable
C_735054,14,30,9,60,10,260,410.0,0.0,0,1.0,0,0,0,0.0,4870.0,410.0,0.0,0.0,0,28769,28359.0,0.9857485487851508,,0.0,0.0,0.0,431.0,0.0,1,大学生心理健康教育,0.2262006512675489,Acceptable
C_682431,1,3,21,173,24,262,38.0,0.0,0,1.0,0,0,0,0.0,162.0,38.0,0.0,0.0,0,7782,7744.0,0.9951169365201749,609.0906153846154,0.0,0.0,0.0,,0.0,1,无机化学,0.2171765844074412,Acceptable
C_676670,0,0,5,49,5,26,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1.0,,0.0,0.0,0.0,547.0,0.0,0,高级英语写作,0.0,Needs Improvement
C_1627979,1,1,8,40,0,0,93.0,0.0,1,1.0,0,0,0,0.0,10.0,9.0,310.0,87.0,33,349,256.0,0.7335243553008596,,0.0,0.0,0.0801724137931034,,0.0,0,英语六级全程通关课,0.0549635905099591,Needs Improvement
